mx,my,mz
131.07, 294.85, -119.261
167.553, 288.927, -112.96
195.284, 284.173, -101.83
221.209, 284.834, -87.6413
247.953, 284.399, -65.3084
273.879, 275.127, -43.2359
288.738, 269.911, -23.6182
298.925, 267.233, -5.92341
301.83, 269.798, 7.58347
306.508, 269.459, 22.4486
306.621, 269.798, 36.2573
308.696, 268.629, 50.6697
308.577, 267.524, 60.9357
306.018, 270.59, 69.1568
300.624, 278.635, 76.7641
295.416, 289.304, 75.6838
292.32, 294.113, 76.3353
289.364, 295.76, 86.9518
287.757, 290.247, 100.811
283.531, 287.983, 115.978
281.004, 280.589, 128.202
274.401, 275.156, 142.539
277.193, 279.025, 135.088
258.065, 258.48, 171.1
274.971, 255.711, 154.776
286.55, 257.272, 137.748
292.671, 257.076, 123.548
297.793, 262.894, 111.602
299.491, 266.893, 99.1511
305.185, 264.288, 86.5497
308.206, 262.667, 67.5722
310.448, 266.394, 46.8616
305.98, 266.667, 26.4101
303.548, 265.497, 5.96491
297.642, 261.875, -15.4688
287.682, 259.347, -35.5782
272.364, 259.008, -55.5367
256.631, 259.913, -70.8168
244.444, 261.649, -82.4373
225.224, 262.768, -94.9708
210.526, 262.29, -105.339
193.85, 262.177, -112.998
178.872, 262.441, -119.94
158.441, 256.686, -127.875
125.976, 257.084, -135.295
81.9845, 255.725, -142.124
46.1045, 253.613, -143.746
33.1636, 253.877, -143.105
283.569, 131.221, -64.252
304.697, 115.337, -29.6548
318.959, 99.1511, 9.43218
323.977, 91.9072, 35.5405
323.712, 95.3405, 52.3297
324.807, 99.4152, 63.1579
325.674, 106.357, 69.7604
325.523, 118.883, 85.6442
321.524, 121.902, 100.472
317.336, 126.957, 113.488
314.347, 133.84, 124.094
295.066, 124.744, 155.482
251.839, 116.846, 198.717
211.432, 107.414, 225.58
192.643, 110.696, 235.805
178.834, 119.411, 244.256
163.705, 122.882, 250.406
148.802, 124.467, 253.801
135.22, 121.675, 257.65
103.197, 118.947, 264.016
76.9666, 109.074, 266.327
50.4483, 93.3723, 266.901
28.6915, 96.345, 266.63
5.73477, 100.283, 265.12
-8.56442, 104.244, 263.384
-91.0394, 149.708, 242.445
-31.6544, 137.333, 262.516
13.2164, 126.316, 269.24
37.3137, 129.032, 271.043
57.3477, 135.823, 270.477
75.1179, 139.521, 270.666
92.3222, 140.049, 269.383
108.811, 140.312, 266.511
125.222, 141.483, 262.328
141.747, 139.294, 258.366
161.366, 137.219, 252.254
176.306, 134.503, 245.614
191.926, 135.107, 239.238
204.641, 133.748, 233.503
214.073, 136.276, 227.806
227.731, 138.389, 219.808
244.105, 135.823, 210.187
255.876, 135.899, 198.642
270.779, 134.729, 189.021
283.079, 140.238, 172.684
302.886, 139.219, 145.557
315.261, 141.483, 123.486
318.808, 141.332, 116.016
323.184, 140.615, 102.811
328.391, 140.502, 84.0973
330.013, 137.106, 72.4014
329.862, 130.541, 65.0821
103.867, 53.7634, -134.126
114.659, 36.6082, -126.472
135.182, 44.9726, -125.41
180.796, 58.4795, -116.657
197.925, 60.6678, -108.998
196.038, 48.6323, -104.697
196.881, 24.5614, -90.8382
212.3, 2.67874, -68.5908
228.561, 6.26297, -57.2345
243.237, 3.65969, -40.4075
257.8, -3.58423, -17.3929
264.756, -6.15984, 1.1306
267.119, -9.99811, 14.601
269.044, -14.9783, 32.3713
270.138, -16.7516, 42.7844
272.892, -14.1105, 58.4795
273.835, -10.1113, 71.1564
271.618, -12.6316, 85.1852
264.252, -15.5065, 97.1137
259.498, -19.2417, 108.206
253.688, -18.1098, 116.733
247.161, -14.9783, 135.861
234.258, -8.07395, 157.027
220.223, -6.07433, 173.779
202.075, -8.03622, 186.833
98.5097, 34.8991, 249.01
129.24, 34.9318, 243.275
162.5, 37.7193, 231.835
193.775, 42.8976, 219.996
218.072, 49.1983, 207.131
241.577, 51.877, 192.907
259.844, 51.9298, 174.347
281.532, 57.2722, 153.669
299.649, 59.0643, 124.288
306.32, 56.5931, 96.2083
308.382, 57.4659, 86.3548
311.337, 59.1209, 77.6834
311.462, 55.9064, 66.7057
311.294, 55.9211, 55.4825
310.734, 52.4052, 41.6902
303.339, 44.4822, 23.9955
297.076, 39.883, 5.18518
285.191, 30.183, -11.5827
272.175, 21.5808, -21.3167
261.559, 16.3353, -33.4113
238.521, 15.2424, -57.8759
214.62, 21.6374, -79.883
187.021, 24.3728, -97.2647
164.573, 26.561, -109.074
46.1988, 70.9941, -140.507
101.377, 83.4937, -141.52
161.517, 71.0432, -124.693
213.733, 69.2322, -99.8679
256.857, 73.8351, -71.0055
284.626, 68.4022, -35.8423
301.113, 66.2894, -4.18789
310.357, 65.0443, 27.0515
311.979, 63.0447, 52.4807
309.123, 65.2632, 85.4581
296.272, 65.5336, 125.475
257.838, 62.7806, 177.4
221.209, 49.2008, 201.754
203.811, 34.2954, 208.866
180.872, 28.1456, 219.808
162.12, 24.4105, 225.844
139.596, 17.8457, 230.711
102.962, 12.6391, 237.955
59.5737, 5.05565, 238.181
35.0877, 7.95322, 241.287
8.18713, 9.01717, 239.842
-24.9387, 13.8087, 236.069
-54.7821, 17.7702, 227.957
-87.7583, 38.4795, 223.704
-109.413, 45.5008, 215.733
-49.3114, -23.505, -77.6457
-46.1045, -20.9772, -80.9659
-37.7665, -21.2413, -86.0592
-12.1109, -23.5805, -91.794
52.3297, -29.5416, -99.1511
99.8679, -43.1617, -86.9647
131.296, -41.0866, -82.3241
172.398, -33.8402, -71.7349
219.883, -16.4875, -55.348
250.104, -2.67874, -36.9364
266.969, 11.2432, -29.1266
278.136, 25.0519, -20.5622
299.571, 51.0331, 1.79337
313.414, 74.269, 33.0409
319.26, 89.6812, 55.499
319.562, 97.1137, 74.6652
312.733, 92.5486, 99.9811
301.339, 86.512, 126.542
284.639, 91.501, 157.037
256.669, 94.435, 188.455
225.542, 92.6995, 212.186
188.795, 101.264, 234.824
147.142, 100.321, 251.424
107.992, 99.7271, 260.897
70.5044, 75.2193, 262.975
48.9342, 57.3854, 258.781
13.8087, 63.4597, 259.611
-41.7154, 63.6257, 247.992
-83.7955, 65.2707, 233.994
243.388, 103.943, -94.1709
239.728, 126.014, -101.226
207.131, 149.594, -120.958
144.011, 159.781, -143.445
89.8246, 158.012, -152.203
60.366, 155.48, -153.292
35.4776, 164.444, -151.93
16.4875, 176.269, -150.274
-17.4269, 182.066, -145.536
-40.4452, 193.473, -138.276
-71.1564, 202.679, -125.561
-94.0955, 201.66, -115.148
-126.082, 197.934, -97.076
-152.085, 198.038, -76.3252
-168.497, 197.472, -60.0641
-180.78, 203.899, -44.5614
-194.492, 203.848, -25.1651
-206.901, 200.585, -4.21053
-209.659, 197.133, 3.13148
-212.564, 188.644, 5.84795
-216.865, 185.21, 17.5439
-215.997, 189.096, 14.7897
-210.058, 188.889, 0.116959
-207.395, 191.209, -7.58347
-202.339, 192.047, -16.4522
-187.21, 198.227, -37.6155
-154.575, 206.64, -72.0241
-93.2654, 231.239, -109.338
-30.9753, 243.048, -132.843
273.567, 74.8538, 170.487
282.965, 86.5874, 163.29
289.266, 105.565, 162.988
297.001, 111.903, 151.368
306.885, 118.28, 135.408
315.752, 126.278, 118.43
323.297, 122.052, 94.2086
325.486, 116.204, 71.1564
325.561, 103.98, 56.8572
321.977, 95.4537, 47.9909
317.751, 88.172, 34.4086
313.903, 84.9274, 13.356
310.838, 86.4327, -1.79337
302.485, 74.4518, -11.8421
297.151, 64.6293, -15.3179
290.511, 56.1026, -19.9962
281.442, 53.7232, -33.4893
264.365, 56.1026, -52.4807
258.713, 58.5185, -62.5341
243.954, 45.0481, -68.4022
214.337, 25.7687, -78.9662
204.226, 26.6742, -85.4556
79.4932, 62.0273, -131.423
116.28, 50.8583, -124.693
154.815, 52.1637, -115.322
180.796, 58.4418, -106.395
206.716, 55.2726, -93.2277
231.39, 51.5752, -72.4014
254.254, 41.7657, -46.6704
271.685, 44.5199, -24.9387
283.38, 45.3122, -7.16846
286.667, 39.2203, 8.73294
289.73, 38.4503, 24.6711
292.359, 33.9571, 41.2086
283.72, 18.638, 58.555
274.854, 6.0366, 71.1941
265.341, -2.10526, 93.7622
260.14, -7.16846, 103.905
249.953, -9.50764, 120.091
242.709, -12.9032, 130.353
239.087, -14.5633, 135.069
237.163, -11.8468, 141.785
231.696, -11.501, 150.526
230.447, -4.45199, 157.631
232.899, 7.20619, 164.497
240.898, 23.7691, 166.384
241.598, 28.3821, 169.552
16.2573, 125.38, -138.791
24.75, 135.069, -139.106
45.0682, 132.749, -139.805
43.6899, 132.466, -139.785
48.0664, 132.956, -140.162
58.0645, 140.426, -141.143
76.1366, 143.445, -140.728
108.621, 142.162, -137.898
118.242, 139.785, -137.597
96.9628, 123.297, -138.2
59.4605, 112.733, -138.54
32.1248, 108.382, -136.647
19.6189, 112.62, -135.371
17.1666, 113.978, -135.522
22.729, 125.887, -137.505
19.5541, 131.615, -137.463
17.2798, 117.223, -135.559
10.2245, 100.132, -131.711
5.62158, 99.2266, -130.164
12.4128, 110.13, -132.843
34.069, 130.73, -138.049
45.1462, 132.671, -140.39
54.9708, 129.108, -140.615
60.5923, 126.203, -140.313
63.4975, 129.108, -140.049
70.9162, 130.565, -139.649
111.618, 181.91, -137.778
112.356, 182.456, -138.729
111.602, 183.362, -138.276
112.205, 183.362, -135.974
112.884, 186.154, -137.031
111.79, 186.04, -137.106
108.508, 189.625, -138.314
88.8889, 189.398, -139.709
83.4182, 189.172, -139.106
85.6065, 185.663, -141.068
83.5691, 184.644, -140.653
86.512, 186.003, -140.955
91.0017, 184.569, -139.332
99.6416, 182.683, -139.37
102.849, 180.457, -139.068
96.2083, 179.174, -139.257
95.3405, 177.438, -139.068
106.395, 171.628, -138.993
109.376, 173.439, -136.653
109.942, 178.324, -138.168
113.035, 183.626, -138.955
113.411, 183.548, -136.179
114.28, 184.116, -137.182
113.375, 181.022, -137.823
109.753, 178.004, -136.804
316.77, 118.732, 61.4601
309.24, 104.522, 93.8012
309.602, 97.6042, 116.204
292.398, 89.2662, 130.202
271.496, 77.0421, 156.159
247.689, 63.1956, 175.363
214.676, 48.6701, 197.434
172.684, 27.957, 212.715
153.443, 12.6014, 212.564
137.295, 1.09413, 213.205
111.488, -7.47029, 216.035
92.7095, -17.7778, 212.32
81.9468, -24.2596, 211.092
61.6374, -29.5517, 207.524
54.4956, -30.3363, 208.077
52.0078, -28.499, 209.708
55.0085, -23.9577, 211.771
69.8736, -30.0698, 205.961
112.96, -36.2573, 193.812
148.84, -39.0115, 178.155
173.567, -45.2632, 157.7
186.908, -52.8957, 137.748
209.847, -48.1796, 119.336
227.919, -42.558, 96.246
239.064, -35.2826, 75.6725
191.247, -69.7604, 22.9391
183.938, -76.7251, 42.0663
177.287, -84.0973, 63.3465
158.324, -90.2534, 83.3918
135.446, -95.9442, 93.8691
124.392, -98.887, 101.038
117.374, -100.17, 103.943
110.092, -102.056, 103.339
100.208, -103.264, 98.4343
93.3786, -103.565, 99.5661
98.4016, -104.444, 98.4405
116.733, -99.9057, 90.964
108.696, -104.999, 73.9106
106.206, -107.074, 60.1396
109.979, -105.716, 47.3496
119.261, -101.868, 34.7482
146.576, -95.5291, 39.6906
135.107, -97.7929, 28.7493
131.56, -98.6606, 22.5995
132.503, -101.151, 25.8442
127.863, -102.056, 29.9943
118.883, -106.093, 25.8442
103.037, -105.678, 18.3739
92.1713, -107.489, 14.8651
77.4948, -108.432, 7.99849
73.0428, -104.169, -0.0754575
70.93, -106.659, 4.75382
21.6186, 7.65893, -101.151
11.5827, 13.9219, -102.962
-4.11243, 8.30032, -96.661
-18.0721, 6.11205, -91.2658
-30.6823, 11.6959, -92.2417
-34.22, 14.601, -92.5863
-34.9368, 17.7325, -94.6614
-35.7291, 17.8834, -95.5291
-39.5397, 10.6018, -90.4735
-42.4825, 12.1864, -89.153
-42.7089, 12.2996, -89.153
-42.7844, 15.0915, -89.9076
-43.3503, 15.0538, -91.1526
-40.1811, 16.1102, -92.9636
-35.0877, 23.1969, -96.0624
-31.7299, 21.9204, -97.9438
-27.542, 20.2981, -96.8496
-9.69628, 17.3929, -102.471
23.5805, 10.3754, -104.584
37.0496, 13.771, -106.433
42.4071, 13.6578, -107.225
48.0664, 7.99849, -105.716
67.7608, 4.71609, -102.849
92.0581, -1.43369, -97.2647
113.941, -0.226372, -95.0009
132.616, 0.679117, -91.5299
146.35, 1.54688, -87.5307
229.089, -22.2977, 132.315
230.183, -23.1654, 133.032
230.523, -23.3164, 128.73
237.115, -25.731, 118.48
240.407, -28.2588, 97.491
245.652, -26.8629, 75.0802
246.218, -29.768, 53.3484
240.898, -29.6925, 34.4841
234.295, -32.6353, 16.4875
225.241, -33.2767, 0.150915
211.96, -35.5782, -17.657
186.644, -47.84, -29.6925
159.366, -57.6118, -38.2569
138.351, -56.6686, -48.2173
132.277, -56.7063, -51.6129
128.278, -57.9513, -50.2924
124.882, -58.97, -50.066
115.789, -60.8942, -46.5573
112.318, -67.1571, -40.5207
107.527, -68.2513, -37.8419
105.452, -72.1751, -32.5976
100.396, -73.6842, -31.0885
85.0292, -73.7622, -30.4094
71.6091, -72.0619, -35.5782
72.4756, -67.9142, -40.039
257.197, -9.319, 17.2043
265.648, -0.830032, 24.8255
272.671, 5.4191, 29.5906
274.342, 9.72222, 38.5965
274.137, 5.16884, 49.9528
275.945, 4.83431, 55.0097
273.345, 1.81098, 59.5359
271.722, 0.113186, 59.2718
270.59, -1.54688, 60.1396
271.911, -1.81098, 58.6682
274.929, 3.84833, 52.5561
275.4, 5.92593, 44.9123
273.76, 5.88568, 34.9368
271.618, 5.76998, 22.4951
264.693, 8.29678, 3.07018
257.65, 15.6574, -17.2798
251.613, 18.9021, -29.1266
242.671, 16.1856, -36.8987
223.203, 5.58385, -48.1419
202.264, -7.31937, -53.2352
186.946, -19.8453, -54.8953
173.326, -29.8434, -51.3111
162.027, -42.4172, -44.3275
147.029, -54.5935, -39.2756
130.214, -61.1696, -38.1287
108.206, -72.8542, -31.3526
92.4731, -77.4948, -28.1834
79.4944, -89.1153, -14.5256
70.93, -95.1519, 1.24505
-149.006, -13.0994, 57.3879
-132.352, -23.8446, 28.7493
-127.259, -22.109, 8.79079
-116.506, -20.5999, -12.2996
-104.169, -13.5823, -31.9185
-72.7033, -11.1677, -59.6869
-44.1803, -15.1669, -71.5714
-12.1109, -21.1281, -78.853
5.92341, -25.4669, -80.4377
28.4475, -28.5984, -82.7391
48.9719, -37.6155, -79.004
67.6099, -46.2931, -68.9681
84.6633, -55.7253, -60.9319
98.9247, -52.0656, -62.1015
109.527, -57.2722, -53.1598
119.676, -60.781, -48.255
115.867, -61.5595, -49.7856
106.621, -66.1385, -46.8214
102.811, -65.0443, -50.2169
105.536, -61.2086, -54.0741
103.641, -49.4246, -66.1007
103.339, -37.0873, -79.7208
116.657, -23.8446, -86.4365
124.769, -7.54575, -97.5665
112.054, -18.5625, -93.7559
98.887, -19.1662, -96.0951
88.2098, -16.8647, -99.3775
-110.658, -17.0157, 115.035
-103.226, -17.2798, 119.562
-103.188, -18.638, 118.883
-100.312, -18.1287, 122.573
-98.2456, -19.481, 123.173
-97.8683, -21.9958, 120.43
-93.1522, -24.2973, 120.128
-90.0962, -24.0709, 120.091
-95.3028, -22.1845, 114.846
-96.8496, -21.2035, 112.884
-96.661, -23.8068, 114.846
-99.9811, -25.5801, 115.639
-101.131, -25.0682, 113.333
-104.848, -24.1841, 111.602
-110.604, -23.8986, 104.444
-118.275, -21.7471, 100.037
-122.996, -20.5244, 94.5859
-128.542, -20.4867, 87.1156
-131.9, -21.5808, 75.1179
-133.748, -21.5808, 63.2334
-132.956, -23.5427, 53.5748
-134.956, -22.9391, 43.2749
-130.994, -25.1852, 33.8012
-128.844, -25.0519, 21.0526
-122.656, -24.5614, 10.1113
-116.218, -26.0819, 0.311891
-111.602, -27.4665, -8.75307
73.8351, -45.7649, -75.6461
73.6465, -45.2745, -76.5893
70.7992, -46.1988, -74.7368
65.8366, -45.9913, -75.0802
56.6308, -43.0485, -76.778
45.0104, -42.6335, -77.2684
20.6376, -38.4456, -79.0794
-5.50839, -23.9577, -82.8523
-29.3152, -13.4314, -83.3428
-51.8393, -5.84795, -79.9849
-71.1941, 6.0366, -77.4948
-87.4929, 16.3365, -73.8728
-101.17, 24.1326, -69.2008
-118.166, 28.9002, -59.3096
-134.465, 28.1079, -44.1426
-147.096, 36.1403, -35.0487
-155.178, 40.7848, -26.5233
-162.913, 43.8408, -20.6376
-168.685, 46.029, -13.0164
-171.213, 49.3114, -9.16808
-179.136, 55.1971, 0.264101
-184.758, 57.725, 12.4882
-191.072, 60.1559, 24.9903
-195.661, 67.6476, 35.5782
-199.208, 71.6091, 45.1236
-201.773, 72.8164, 56.8572
-203.821, 72.1248, 69.7466
-200.264, 202.188, -10.564
-179.664, 198.378, -45.199
-147.255, 193.624, -80.664
-86.7006, 192.039, -118.77
-47.8023, 191.096, -134.654
-22.4486, 187.134, -142.652
-4.56518, 184.38, -146.84
15.2827, 182.963, -150.76
37.1628, 181.173, -152.235
52.0279, 173.326, -152.235
65.1198, 165.44, -153.518
76.4132, 152.632, -153.294
85.0406, 143.596, -152.952
90.2849, 151.971, -152.122
103.452, 162.875, -150.802
122.354, 166.95, -149.104
144.765, 169.176, -144.803
163.236, 166.121, -139.415
179.098, 165.478, -134.767
198.363, 166.511, -126.823
207.895, 158.845, -123.136
209.864, 157.934, -121.053
211.96, 153.367, -120.015
215.469, 150.953, -116.959
225.429, 146.802, -111.866
-187.399, 245.727, -16.2988
-191.813, 247.727, -5.69704
-195.699, 250.066, 3.20694
-198.114, 251.16, 12.941
-200.377, 253.311, 25.0519
-204.075, 253.047, 35.0123
-206.414, 253.99, 45.614
-206.565, 253.122, 53.5371
-205.772, 254.631, 64.8557
-203.622, 258.555, 74.0992
-201.962, 260.064, 88.6625
-199.849, 258.102, 96.7742
-199.132, 258.404, 102.207
-197.321, 256.895, 111.375
-194.492, 253.914, 120.581
-190.53, 250.368, 130.315
-187.251, 248.265, 139.493
-184.644, 249.425, 144.765
-181.475, 247.689, 148.878
-183.513, 245.237, 147.557
-190.756, 246.821, 135.333
-199.321, 251.311, 109.828
-204.829, 254.254, 74.7783
-196.303, 267.912, 31.0885
-171.779, 280.815, -15.8838
-152.32, 283.236, -43.8207
295.303, 232.56, -35.2009
303.565, 230.787, -20.7885
310.394, 227.844, -6.64026
315.261, 225.542, 6.18751
314.431, 226.636, 7.77212
313.489, 227.134, 9.86355
